artist,artist_ko,summary,image_url
ferdinand hodler,페르디난드 호들러,"Ferdinand Hodler (1853 년 3 월 14 일 - 1918 년 5 월 19 일)는 스위스 화가였습니다.그는 19 세기에 가장 유명한 스위스 화가 중 하나입니다.그의 초기 작품은 현실적인 스타일의 초상화, 풍경 및 장르 그림이었습니다.나중에 그는 ""병렬주의""라고 불리는 개인적인 형태의 상징주의를 채택했습니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Selbstbildnis_mit_aufgerissenen_Augen_III_%281912%29_-_Ferdinand_Hodler.jpg/220px-Selbstbildnis_mit_aufgerissenen_Augen_III_%281912%29_-_Ferdinand_Hodler.jpg
filipp malyavin,필립 말야빈,"Filipp Andreevich Malyavin (러시아어 : филип봉 ан, 10 월 22 일 [O.S. 10 월 10] 1869 - 1940 년 12 월 23 일)는 러시아 화가이자 드래프트 맨이었습니다.그레이트 러시아 현실주의 화가 Ilya Repin에서 공부 한 아이콘 페인팅 훈련을받은 Malyavin은 농민 배경을 가진 러시아 예술가들 사이에서 드문 일입니다.아마도 그의 그림은 종종 농민 생활을 묘사하고 있으며 그의 가장 유명한 작품 인 회오리 바람은 농민 여성 춤을 보여줍니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Filipp_Maliavin_by_Filipp_Maliavin_%281869-1940%29.jpg/220px-Filipp_Maliavin_by_Filipp_Maliavin_%281869-1940%29.jpg
frank johnston,프랭크 존스턴,"Francis Hans Johnston(Frank H. Johnston 및 Franz Johnston으로도 알려짐)(1888년 6월 19일 ? 1949년 7월 9일)[1]은 Group of Seven의 회원이었습니다. 그는 그룹의 다른 구성원보다 더 보수적인 모드로 풍경화가로 가장 일반적으로 일했습니다. 그는 또한 알고마 풍경화에 유성 페인트 대신 템페라를 사용했는데, 이는 당시 상업 예술과 더 자주 연관되었던 속건성 재료였습니다.",
franklin carmichael,프랭클린 카마이클,"프랭클린 카 마이클 (Franklin Carmichael) (1890 년 5 월 4 일 - 1945 년 10 월 24 일)은 캐나다 예술가이자 7 명의 그룹 회원이었습니다.그는 주로 수채화를 사용하는 것으로 유명했지만 유성 페인트, 숯 및 기타 미디어를 사용하여 온타리오 풍경을 포착했습니다.그는 화가로서의 작품 외에도 디자이너이자 일러스트 레이터로 일하면서 홍보 브로셔, 신문 및 잡지에 광고를 만들고 책을 디자인했습니다.그의 삶이 끝날 무렵, Carmichael은 온타리오 예술 대학 (오늘 온타리오 미술 및 디자인 대학교)의 그래픽 디자인 및 상업 미술 부서에서 가르쳤습니다.
Carmichael은 Seven Group의 가장 어린 최초 멤버 인 Carmichael은 종종 그룹 외부에서 사회적으로 자신을 발견했습니다.그럼에도 불구하고, 그가 생산 한 예술은 스타일과 다른 회원들의 기여에 대한 접근면에서 동등한 척도였으며, 그의 예술을 통해 그의 영적 견해를 생생하게 표현했습니다.다음 막내 멤버는 A. J. Casson과 함께 친절했습니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Franklin_Carmichael.jpg/220px-Franklin_Carmichael.jpg
frantisek kupka,프란티섹 쿠프카,"Frank Kupka 또는 François Kupka로도 알려진 František Kupka (1871 년 9 월 23 일 - 1957 년 6 월 24 일)는 체코 화가이자 그래픽 아티스트였습니다.그는 추상 예술 운동과 Orphic Cubism (Orphism)의 초기 단계의 선구자이자 공동 설립자였습니다.
Kupka의 추상 작품은 사실주의의 기초에서 생겨 났지만 나중에 순수한 추상 예술로 진화했습니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Frantisek_Kupka_1928.jpg/220px-Frantisek_Kupka_1928.jpg
franz stuck,프란츠가 붙어있다,"Franz Ritter Von Stuck (1863 년 2 월 23 일 - 1928 년 8 월 30 일)은 Franz Stuck에서 독일 화가, 조각가, 인쇄 제작자 및 건축가였습니다.Stuck은 그의 고대 신화의 그림으로 가장 잘 알려져 있으며 1892 년에 죄와 상당한 비판적인 찬사를 받았습니다. 1906 년에 Stuck은 바이에른 크라운의 공로의 순서를 수여 받았으며, 그 이후로 Ritter von Stuck으로 알려졌습니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Franz_von_Stuck%2C_by_Franz_von_Stuck.jpg/175px-Franz_von_Stuck%2C_by_Franz_von_Stuck.jpg
georges lemmen,조지 레먼,"Georges Lemmen (1865, Schaerbeek-1916, Brussels)은 벨기에 출신의 신생 억제 주의자였습니다.그는 1888 년부터 Les XX의 회원이었다. 그의 작품은 Heist의 Beach, Aline Marechal 및 꽃의 꽃병을 포함한다.Yvonne Serruys는 1892 년부터 1894 년까지 브뤼셀의 워크숍에서 공부했습니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Georges_Lemmen_-.jpg/220px-Georges_Lemmen_-.jpg
gustav klimt,구스타프 클림트,"구스타프 클림트 (Gustav Klimt) (1862 년 7 월 14 일 - 1918 년 2 월 6 일)는 오스트리아의 상징주의 화가였으며 비엔나 탈퇴 운동의 가장 유명한 회원 중 한 명입니다.Klimt는 그의 그림, 벽화, 스케치 및 기타 Objets D 'Art로 유명합니다.클림트의 주요 주제는 여성의 몸이었고 그의 작품은 솔직한 에로티시즘으로 표시됩니다.우화와 초상화를 포함한 그의 비 유적 작품 중 그는 풍경을 그렸습니다.비엔나 탈퇴의 예술가들 중에서 클림트는 일본 예술과 그 방법에 가장 큰 영향을 받았다.
그의 경력 초기에 그는 전통적인 방식으로 건축 장식의 성공적인 화가였습니다.그가 더 개인적인 스타일을 개발하기 시작하면서, 그의 작품은 비엔나 대학교 그레이트 홀의 천장을 위해 1900 년경에 완성한 그림이 포르노로 비판을 받았을 때 정점에 이르는 논란의 대상이었다.그 후 그는 더 이상 공개 커미션을 받아들이지 않았지만 그의 ""황금 단계""의 그림으로 새로운 성공을 거두었습니다.Klimt의 작품은 그의 젊은 동료 Egon Schiele에게 중요한 영향이었습니다.
1990 년대 이래로 그는 그림이 경매에서 최고 가격을 가져 오는 예술가 중 한 사람이었습니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Klimt.jpg/220px-Klimt.jpg
henri de toulouse lautrec,앙리 드 툴루즈 로트렉,"툴루즈 로트레크(프랑스어: [tuluz lot??k])로 알려진 앙리 마리 레이몽 드 툴루즈-로트렉-몽파 백작(1864년 11월 24일 ? 1901년 9월 9일)은 프랑스의 화가, 판화 제작자, 소묘가, 풍자화가, 삽화가였습니다. 19세기 후반 파리의 다채롭고 연극적인 삶을 통해 그는 당시의 퇴폐적인 사건에 대한 매력적이고 우아하며 도발적인 이미지 모음을 제작할 수 있었습니다.

귀족 가문에서 태어난 툴루즈 로트레크는 청소년기 무렵 두 다리가 부러졌고, 아마도 희귀병인 피크노디조스토시스(pycnodysostosis)로 인해 작은 다리로 인해 성인이 되어서도 키가 매우 작았습니다. 알코올 중독 외에도 그는 매음굴과 매춘부에 대한 친밀감을 키워 19세기 후반 파리의 보헤미안 생활 방식을 자세히 기록한 그의 많은 작품의 주제를 다루었습니다. 그는 폴 세잔(Paul C?zanne), 빈센트 반 고흐(Vincent van Gogh), 폴 고갱(Paul Gauguin), 조르주 쇠라(Georges Seurat)와 함께 포스트 인상파로 묘사되는 화가 중 하나이며 일반적으로 이 느슨한 그룹에 속하는 것으로 간주됩니다.

2005년 크리스티 경매장에서 열린 경매에서 툴루즈 로트레크의 젊은 세탁부를 그린 초기 그림인 La Blanchisseuse는 미화 2,240만 달러에 팔리며 경매 가격에 대한 예술가의 신기록을 세웠습니다.",https://en.wikipedia.org/wiki/Henri_de_Toulouse-Lautrec#/media/File:Photolautrec.jpg
heorhiy narbut,안녕 나버트,"Heorhiy Ivanovych Narbut (우크라이나 : георгій іванович нарбут; 2 월 25 일 [O.S. 9 월 9 일] 1886 - 1920 년 5 월 23 일)는 Georgy Narbut 또는 George Narbut라고도합니다.
그는 우크라이나 인민 공화국의 무기, 지폐, 우표, 헌장 및 책과 잡지의 많은 삽화를 설계하는 것으로 유명합니다.그는 Acmeist 시인 Vladimir Narbut의 형제였습니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Narbut2.jpg/235px-Narbut2.jpg
ivan bilibin,이반 빌리빈,"Ivan Yakovlevich Bilibin (러시아어 : иван яковлевич билибин, IPA : [ɪˈvan ˈvan ˈjakəvlʲɪvʲɪt͡ɕ bʲɪˈlʲibʲɪn]; 8 월 16 일 [O.S. 4] 1876 년 2 월 7 일 1942 년 2 월 7 일).""), 발레 러스 (Ballets Russes)에 기여하고 러시아 예술가들의 연합을 공동 창립했으며 1937 년부터 예술가들의 소련 연합의 일원이었다.Ivan Bilibin은 러시아 민속 이야기와 슬라브 민속의 삽화로 인기를 얻었습니다.그의 경력을 통해 그는 중세 러시아의 예술과 문화에서 영감을 받았습니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/1901._Portrait_of_Ivan_Bilibin_by_B._Kustodiev.jpg/220px-1901._Portrait_of_Ivan_Bilibin_by_B._Kustodiev.jpg
ivan milev,이반 밀레프,"Ivan Milev Lalev (Bulgarian : иван милев 1897 년 2 월 18 일 - 1927 년 1 월 25 일)는 불가리아 탈퇴의 창시자이자 불가리아 모더니즘의 창시자로 여겨지는 불가리아의 화가이자 경찰가였으며, 그의 작품에서 상징주의, 예술가 및 표현주의를 결합한 불가리아 모더니즘의 대표자로 여겨졌다.
이반 마일프 (Ivan Milev)는 카잔 락 (Kazanlak) 마을에서 목자 Milyu Lalev의 가족에서 태어났다.1917-1918 년에 그는 제 1 차 세계 대전에서 군인으로 싸웠습니다. 1918 년 11 월 18 일, 고향에서 고등학교를 마치고 카잔 락에서 전시회를 마련했습니다.2 년 동안 그는 Haskovo 지방의 Gorski Izvor에서 교사였습니다.1920 년에 그는 소피아의 국립 예술 아카데미에 입학하여 스테판 바트 조프 교수 아래에서 공부했으며 3 명의 1 인 전시회를 가졌습니다.그는 또한 공산주의 코믹 매거진 Red Laughter (червен смя태, Cherven Smyah)를 일러스트 레이터이자 만화가로 기여했습니다.
1923 년 여름, 그는 터키, 그리스 및 이탈리아를 동료 학생들과 함께 방문했습니다.그는 이탈리아 르네상스와 로마, 나폴리, 피렌체 및 베니스의 이탈리아 바로크의 업적을 소개 받았다.1926 년, 그는 국립 아카데미에서 세트 장식을 졸업하고 무대 디자이너로 이반 바자프 국립 극장에서 근무했습니다.그 후 그는 독립 프리랜서 화가이자 일러스트 레이터가되었으며 프레스코 화도 그렸습니다.한 그룹의 동료들과 함께 그는 Shipka Memorial Design Competition에 참여했지만 2 위를 차지했습니다.
일반적으로 빈곤에 살고있는 Milev는 오페라 가수 Katya Naumova와 18 개월간의 결혼을했습니다.그들의 딸 마리야 마일바는 결국 건축가가되었습니다.Milev는 1927 년 1 월 25 일 그의 30 세 생일 직전에 소피아에서 인플루엔자로 사망했습니다.
불가리아 예술에서 Distemper와 수채화 그림의 위대한 마스터 중 한 명으로 간주되는 Milev는 종종 사회적으로 적재 된 작품을 만들었습니다.그의 특징적인 장식 스타일은 유럽 탈퇴의 영향을 많이 받았지만 불가리아 민속 예술 및 아이콘 그림과도 관련이있었습니다.Milev의 그림은 National Art Gallery, Sofia Art Gallery, The Shumen, Kazanlak 및 기타 도시 갤러리에서 전시됩니다.
Milev는 1999 년에 발행 된 현재 5 개의 불가리아 Leva 지폐의 앞면에 묘사되며, 그의 작품 중 일부는 뒷면에 묘사되어 있습니다.",
j. e. h. macdonald,j. 이자형. 시간. 맥도날드,"제임스 에드워드 허비 맥도날드 (James Edward Hervey MacDonald) (1873 ~ 1932)는 영국 캐나다 예술가로서 20 세기 초 유럽의 초기 모더니즘에서 나온 공통의 유산과 결합 된 뚜렷한 국가 정체성을 주장한 7 명 그룹의 일원으로 가장 잘 알려져있다.그는 일러스트 레이터, 그래픽 아티스트 및 디자이너 Thoreau MacDonald의 아버지였습니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/JEH_MacDonald.jpg/220px-JEH_MacDonald.jpg
jacek malczewski,야첵 말체프스키,"Jacek Malczewski (폴란드 : [ˈ jat͡sɛsɛk malˈt͡ʂɛfskʲi]; 1854 년 7 월 15 일 - 1929 년 10 월 8 일)는 애국적인 젊은 폴란드 운동의 중심 인물 중 하나 인 폴란드의 상징적 인 화가였습니다.그의 창조적 인 결과물은 그의 시대의 우세한 스타일을 폴란드 순교의 역사적 주제, 낭만적 인 독립성, 기독교 및 그리스 신화, 민속 이야기, 자연 세계에 대한 그의 사랑과 결합했습니다.그는 화가 Rafał Malczewski의 아버지였습니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Jacek_Malczewski_-_Self-portrait_with_palette_-_MP_764_-_National_Museum_in_Warsaw.jpg/220px-Jacek_Malczewski_-_Self-portrait_with_palette_-_MP_764_-_National_Museum_in_Warsaw.jpg
jacques villon,자크 빌런,Jacques Villon (1875 년 7 월 31 일 - 1963 년 6 월 9 일)은 Gaston Duchamp로도 알려진 프랑스 입방체이자 추상 화가이자 인쇄 제작자였습니다.,
jan toorop,잔 투롭,"Johannes Theodorus ""Jan""Toorop (1858 년 12 월 20 일 - 1928 년 3 월 3 일)는 상징, Art Nouveau 및 Pointillism을 포함한 다양한 스타일로 일한 네덜란드 화가였습니다.그의 초기 작품은 암스테르담 인상주의 운동의 영향을 받았다.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Fotoportret_van_Jan_Toorop.jpg/220px-Fotoportret_van_Jan_Toorop.jpg
john french sloan,존 프렌치 슬론,"John French Sloan (1871 년 8 월 2 일 - 1951 년 9 월 7 일)은 미국 화가이자 Etcher였습니다.그는 Ashcan School of American Art의 창시자 중 한 명으로 여겨집니다.그는 또한 8으로 알려진 그룹의 회원이었습니다.그는 그의 도시 장르 장면과 뉴욕시의 이웃 생활의 본질을 포착하는 능력으로 가장 잘 알려져 있으며, 종종 첼시 스튜디오 창을 통해 관찰됩니다.슬론은 Ashcan School의 최고의 예술가라고 불렸고, 사회주의의 원칙을 받아들이는 현실주의 화가라고 불렸지만, 그는 자신의 예술을 정치에서 분리했습니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/John_French_Sloan.jpg/220px-John_French_Sloan.jpg
jose de almada negreiros,호세 데 알마다 네그레이로스,"일반적으로 Almada Negreiros로 알려진 Jos? Sobral de Almada Negreiros(1893년 4월 7일 ? 1970년 6월 15일)는 포르투갈 예술가였습니다. 그는 포르투갈 상투메 프린시페 식민지에서 포르투갈 아버지 안토니오 로보 데 알마다 네그레이로스와 산토메아 어머니 엘비라 프레이레 소브랄의 아들로 태어났습니다. 문학과 회화 외에도 알마다는 발레 안무를 개발하고 태피스트리, 판화, 벽화, 캐리커처, 모자이크, 아줄레조, 스테인드글라스 작업을 했습니다.",https://en.wikipedia.org/wiki/Almada_Negreiros#/media/File:Almada_Negreiros_-_Vitoriano_Braga.png
jozsef rippl ronai,요제프 리플 로나이,J?zsef Rippl-R?nai (1861년 5월 23일 ? 1927년 11월 25일)은 헝가리 화가였습니다. 그는 처음으로 헝가리 예술에 현대 예술 운동을 도입했습니다.,https://en.wikipedia.org/wiki/J%C3%B3zsef_Rippl-R%C3%B3nai#/media/File:Rippl-R%C3%B3nai_J%C3%B3zsef_V%C3%B6r%C3%B6ssapk%C3%A1s_%C3%B6narck%C3%A9p.jpg
jules cheret,줄스 셰레,Jules Chéret (1836 년 5 월 31 일 - 1932 년 9 월 23 일)은 프랑스 화가이자 석판 작가였으며 벨레 에포크 포스터 아트의 마스터가되었습니다.그는 현대 포스터의 아버지라고 불렀습니다.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Ch%C3%A9ret%2C_Jules%2C_Nadar%2C_Gallica.jpg/220px-Ch%C3%A9ret%2C_Jules%2C_Nadar%2C_Gallica.jpg
jury annenkov,배심원단 아넨코프,"유리 파블로비치 아넨코프 (러시아어: 조르주 아넨코프로도 알려진 ю рий п авлович а нненков); 1889년 7월 23일 [오에스 7월 11일] 러시아 아크몰린스크 주 페트로파블롭스크 ? 1974년 7월 12일 프랑스 파리)는 주로 책 삽화와 초상화로 유명한 러시아의 전위 화가이자 화가였습니다. 그는 또한 극장과 영화 (디자인)에서 일했습니다. 미르 이스쿠스트바의 일원입니다.

예브게니 자마틴(Yevgeny Zamyatin)은 그의 에세이 ""합성론에 대하여""(1922)에서 ""[아넨코프]는 우리 시대의 놀라운 돌진과 역동성에 대해 예리한 인식을 가지고 있습니다. 그의 시간 감각은 100분의 1초로 발달합니다. 그는 사물의 합성적인 본질만을 주는 재주를 가지고 있습니다.""

유리 아넨코프는 (그의 선조들 중에는 알렉산더 푸시킨의 출판인 파벨 아넨코프가 있었다) 유명한 가정에서 태어났습니다. 그의 아버지 파벨 아넨코프는 그를 시베리아로 망명하게 만든 혁명 활동에 참여했습니다. 아넨코프 가족은 1892년에 상트 페테르부르크로 다시 이사했습니다.

1908년, 아넨코프는 상트페테르부르크 대학에 입학했고 마르크 샤갈과 함께 사블리 세이덴베르크의 스튜디오 수업에 참석했습니다. 다음 해인 1909년, 그는 얀 시 ?글리 ?스키의 스튜디오에 참석했습니다. 1911년에서 1912년, 아넨코프는 모리스 데니스와 펠릭스 발로통의 스튜디오에서 일하기 위해 파리로 이사했습니다. 1913년, 아넨코프는 스위스에서 일했습니다. 1914년 상트페테르부르크로 돌아온 후, 아넨코프는 주로 잡지 (사티리콘, 극장 I 이스쿠스트보, 오테체스트보)에 기고했고 극장들에서 일했습니다.

1917년에 출판된 막심 고리키의 동화책 사모바르는 책 디자이너로서의 그의 첫 번째 작품이었습니다. 책 일러스트레이터로서의 그의 인정은 1918년에 출판된 알렉산더 블록의 시 ""열두 명""을 디자인하고 1년 안에 세 번의 인쇄를 거친 그의 가장 유명한 작품의 결과로 나타났습니다. 그 후 몇 년 동안, 아넨코프는 페트로그라드 작가들(미하일 쿠즈민과 알렉세이 레미조프)을 위해 많은 책들을 디자인했습니다. 1919년에 아넨코프는 레프 톨스토이 백작의 코미디인 ""첫 번째 증류소, 혹은 어떻게 임프가 빵 한 덩어리를 벌었는가""를 디자인하고 무대에 올렸습니다.

볼셰비키 정부의 의뢰를 받은 아넨코프는 므스티슬라프 도부진스키, S. 마슬로프스키, A. 쿠겔과 함께 1920년 5월 1일 페트로그라드에서 야외 미스터리 ""해방된 노동 국가""를 디자인하고 무대에 올렸습니다. 그 해 말, 아넨코프는 페트로그라드의 팰리스 광장에서 10월 혁명 기념일 축하 행사의 일환인 또 다른 대규모 쇼인 ""겨울 궁전의 폭풍""을 무대에 올리고 디자인했습니다. 1919-1920년 아넨코프는 다다 운동의 영향을 받은 일련의 추상적인 조각 모음집과 콜라주를 만들었습니다.

1922년 그의 책 ""초상화""를 보았습니다. 그것은 1906년에서 1921년 사이에 만들어진 당시 러시아 미술의 주요 인물들(고리, 자마틴, 레미조프, 솔로구브, 블로크, 아크마토바 a.o.)의 80장의 사진을 포함했습니다. 그 책은 예브게니 자마틴과 미하일 쿠즈민의 에세이도 포함했습니다. 그는 미르 이스쿠스트바에 가입했습니다.

아넨코프는 1924년 7월 소련을 떠나 처음에는 독일에 살다가 나중에는 파리에 정착했습니다.","https://en.wikipedia.org/wiki/Yury_Annenkov#/media/File:Yuri_Annenkov_(self-portrait,_1910_GRM).jpg"
kay nielsen,케이 닐슨,"Kay Rasmus Nielsen (1886 년 3 월 12 일 - 1957 년 6 월 21 일)은 20 세기 초 인기있는 덴마크 일러스트 레이터였으며, Daniel Vierge와 다른 개척자들이 인쇄 기술을 개발했을 때부터 지속 된 황금 시대의 일러스트레이터였습니다.그림은 합리적인 시설로 재현 될 수 있습니다.Nielsen은 또한 Disney와의 협력으로 유명합니다. Disney는 Fantasia에 대한 많은 이야기 스케치와 삽화를 제공했습니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Illustration_by_Kay_Nielsen_9.jpg/220px-Illustration_by_Kay_Nielsen_9.jpg
koloman moser,콜로만 모저,"Koloman Moser (독일어 : [ˈ koːloman ˈmoːzɐ]; 1868 년 3 월 30 일-1918 년 10 월 18 일)는 20 세기 그래픽 아트에 상당한 영향을 미쳤던 오스트리아 예술가였습니다.그는 비엔나 탈퇴 운동의 가장 중요한 예술가 중 한 사람이자 Wiener Werkstätte의 공동 설립자였습니다.
Moser는 우표에서 잡지 비네팅에 이르기까지 책과 그래픽 작품을 포함하여 다양한 예술 작품을 디자인했습니다.패션;스테인드 글라스 창, 도자기 및 도자기, 날아간 유리, 식기,은, 보석류 및 가구.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Koloman_Moser.jpg/220px-Koloman_Moser.jpg
konstantin korovin,콘스탄틴 코로빈,Konstantin (Constantin) Alekseyevich Korovin (러시아어 : константи인지 алексевич коро́вин; 12 월 5 일 [O.S. 23] 1861 년 9 월 11 일)은 러시아의 인상파가 이어졌습니다.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Portrait_of_Konstantin_Korovin.jpg/220px-Portrait_of_Konstantin_Korovin.jpg
konstantin somov,콘스탄틴 소비프,"Konstantin Andreyevich Somov (러시아어 : константин андрее호 인 сомов; 11 월 30 일 [O.S. 11 월 18 일 - 1939 년 5 월 6 일)는 Mir Iskusstva ( ""World of Art"") 운동과 관련된 러시아 예술가였다.세기.러시아 혁명 이후, 그는 결국 러시아 예술의 다른 저명한 인물들과 함께 파리로 이주했다.사생활에서 그는 오랫동안 젊은 남성 동반자, Methodiy Lukyanov, 그리고 젊은 복서 인 Boris Snezhkovsky와의 모호한 예술적이고 개인적인 관계를 가졌습니다.21 세기에 그의 그림은 수백만 달러로 팔렸습니다.2007 년, Somov의 The Rainbow는 Christie 's London에서 GBP 3,716,000 (733 만 달러)로 러시아 예술 작품에 대한 경매 기록을 위해 팔렸습니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/K._Somow.jpg/220px-K._Somow.jpg
konstantinos parthenis,콘스탄티노스 파르테니스,Konstantinos Parthenis (그리스어 : κΩνσταντίνος παρθένης; 1878 년 5 월 10 일 - 1967 년 7 월 25 일)는 그리스 화가로 저명한 화가였습니다.이집트의 그리스 공동체의 일부인 알렉산드리아에서 태어난 Parthenis는 19 세기의 그리스 학문적 전통과 헤어졌으며 그의 예술에서 그리스도의 모습과 같은 전통적인 주제와 함께 현대 요소를 소개했습니다.,
lawren harris,로렌 해리스,Lawren Stewart Harris LL.D. (1885 년 10 월 23 일 - 1970 년 1 월 29 일)는 캐나다 화가로 7 명의 창립 멤버 중 한 명으로 가장 잘 알려져 있습니다.그는 캐나다의 조경 예술과 캐나다의 현대 미술 발전의 비전으로 캐나다 예술에서 촉매제로 중요한 역할을했습니다.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Lawren_Harris.JPG/220px-Lawren_Harris.JPG
leon bakst,레온 박스트,"Léon Bakst, Born Leyb-Khaim Izrailevich Rosenberg (러시아어 : леон (лев) само칭 rrакст, лей б 제공 기원.그는 Sergei Diaghilev Circle과 Ballets Russes의 회원이었으며, 이로 인해 이국적인 색상의 색깔 세트와 의상을 디자인했습니다.그는 Carnaval (1910), Specter de la Rose (1911), Daphnis and Chloe (1912), The Sleeping Princess (1921) 등과 같은 작품에 대한 장식을 설계했습니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Bakst_self.JPG/180px-Bakst_self.JPG
martiros saryan,마르티로스 사리안,Martiros Saryan (Armenian : մարտիրո մարտիրո ·; 러시아어 : мартиро́ сарья 뷰; 2 월 28 일 [O.S. 16 2 월] 1880 - 5 월 5 일 1972 년 5 월 5 일)는 현대 아르메니아 국립 회화 학교의 창시자였다.그는 1924-1931 년 모스크바와 레닌 그라드에 존재했던 미술 협회 'The Four Arts'의 일원 중 하나였습니다.,https://upload.wikimedia.org/wikipedia/en/thumb/0/0d/Martiros_Saryan_photo.jpg/230px-Martiros_Saryan_photo.jpg
max kurzweil,맥스 커즈와일,"Maximilian Franz Viktor Zdenko Marie Kurzweil (1867 년 10 월 12 일, Bisenz - 1916 년 5 월 9 일 비엔나)는 오스트리아 화가이자 인쇄 제작자였습니다.그는 1879 년 비엔나 근처로 이사했다.
Maximillian 또는 Max Kurzweil은 Christian Griepenkerl 및 Leopold Carl Müller와 함께 Fine Arts Vienna 아카데미에서 공부했으며 1892 년 파리의 Académie Julian에 참석하여 1894 년에 살롱에서 첫 그림을 전시했습니다. 그는 Vienna의 공동 설립자였습니다.1897 년의 탈퇴, 영향력있는 탈퇴 주의자 매거진 Ver Sacrum (Sacred Spring)의 편집자 및 일러스트 레이터.Kurzweil은 또한 비엔나의 여성 예술가 아카데미 인 Frauenkunstschule의 교수였습니다.1905 년에 그는 빌라 로마나 상을 수상했습니다.그의 후반 작품은 Edvard Munch와 Ferdinand Hodler의 영향을 보여줍니다.그의 선천적 인 우울함으로 악화 된 사적인 상황의 결과로, 그는 1916 년에 그의 학생이자 연인 인 Helene Heger와 함께 자살했습니다.그의 비교적 짧은 경력에도 불구하고 Kurzweil은 비엔나 탈퇴주의 운동 (Gustav Klimt와 함께)의 가장 중요한 대표자들에 속합니다.",
max slevogt,최대 슬레보트,Max Slevogt (1868 년 10 월 8 일 - 1932 년 9 월 20 일)는 그의 풍경으로 가장 잘 알려진 독일의 인상파와 일러스트 레이터였습니다.그는 Lovis Corinth와 Max Liebermann과 함께 Plein Air Style의 독일에서 가장 중요한 대표 중 한 명이었습니다.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Max_Slevogt.jpg/220px-Max_Slevogt.jpg
michel simonidy,미셸 시모니디,"Mihail Simonidi 또는 프랑스어로 Michel Simonidy (1870 년 3 월 8 일, 부쿠레슈티 -1933 년 2 월 7 일 파리)는 아트 누보 스타일에서 일한 그리스 출신의 루마니아 화가, 디자이너 및 데코레이터였습니다.",
mikhail nesterov,미하일 네스테로프,Mikhail Vasilyevich Nesterov (러시아어 : миáаил васильевич нестеров; 5 월 31 일 1862 년 5 월 31 일 1942 년 10 월 18 일);Peredvizhniki 및 Mir Iskusstva와 관련이 있습니다.그는 러시아에서 상징주의 예술의 첫 지수 중 하나였습니다.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/%D0%9F%D0%BE%D1%80%D1%82%D1%80%D0%B5%D1%82_%D0%9C.%D0%92.%D0%9D%D0%B5%D1%81%D1%82%D0%B5%D1%80%D0%BE%D0%B2%D0%B0.jpg/220px-%D0%9F%D0%BE%D1%80%D1%82%D1%80%D0%B5%D1%82_%D0%9C.%D0%92.%D0%9D%D0%B5%D1%81%D1%82%D0%B5%D1%80%D0%BE%D0%B2%D0%B0.jpg
